season,team1,team2,date,match_number,venue,city,toss_winner,toss_decision,player_of_match,umpire1,umpire2,reserve_umpire,match_referee,winner,winner_runs,winner_wickets,match_type
2024,USA,WI,6/21/2024,46,Kensington Oval,Bridgetown,WI,field,RL Chase,A Paleker,PR Reiffel,AG Wharf,DC Boon,WI ,,9,Group
2024,IND,,6/22/2024,47,Sir Vivian Richards Stadium,North Sound,BAN,field,HH Pandya,AT Holdstock,MA Gough,RA Kettleborough,RS Madugalle,India,50,,Group
2024,AFG,AUS ,6/22/2024,48,Arnos Vale Ground,Kingstown,AUS ,field,Gulbadin Naib,Ahsan Raza,HDPK Dharmasena,Nitin Menon,JJ Crowe,AFG,21,,Group
2024,USA,ENG,6/23/2024,49,Kensington Oval,Bridgetown,ENG,field,AU Rashid,CB Gaffaney,JS Wilson,A Paleker,DC Boon,ENG,,10,Group
2024,WI,SA,6/23/2024,50,Sir Vivian Richards Stadium,North Sound,SA,field,T Shamsi,AG Wharf,RJ Tucker,Sharfuddoula,RS Madugalle,SA ,,3,Group
2024,IND,AUS ,6/24/2024,51,Daren Sammy National Cricket Stadium,Gros Islet,AUS ,field,RG Sharma,RK Illingworth,RA Kettleborough,HDPK Dharmasena,JJ Crowe,India,24,,Group
2024,AFG,BAN,6/24/2024,52,Arnos Vale Ground,Kingstown,AFG,bat,Naveen-ul-Haq,L Rusere,Nitin Menon,Ahsan Raza,RB Richardson,AFG,8,,Group
2024,AFG ,SA,6/26/2024,53,Brian Lara Stadium,Tarouba,AFG,bat,M Jansen,Nitin Menon,RK Illingworth,Ahsan Raza,RB Richardson,SA ,,9,Semi Final
2024,IND,ENG ,6/27/2024,54,Providence Stadium,Providence,ENG,field,AR Patel,CB Gaffaney,RJ Tucker,PR Reiffel,JJ Crowe,IND ,68,,Semi Final
2024,IND,SA,6/29/2024,55,Kensington Oval,Bridgetown,IND ,bat,V Kohli,CB Gaffaney,RK Illingworth,RJ Tucker,RB Richardson,IND ,7,,Final
